,company,date,usage
405,Lyft,2019-06-19,1166
406,Lyft,2019-06-20,882
407,Lyft,2019-06-21,1581
408,Lyft,2019-06-22,1566
409,Lyft,2019-06-23,417
410,Lyft,2019-06-24,390
411,Lyft,2019-06-25,948
412,Lyft,2019-06-26,847
413,Lyft,2019-06-27,829
414,Lyft,2019-06-28,861
415,Lyft,2019-06-29,1411
416,Lyft,2019-06-30,1349
417,Lyft,2019-07-01,746
418,Lyft,2019-07-02,641
419,Lyft,2019-07-03,798
420,Lyft,2019-07-04,1011
421,Lyft,2019-07-05,1135
422,Lyft,2019-07-06,1463
423,Lyft,2019-07-07,1011
424,Lyft,2019-07-08,603
425,Lyft,2019-07-09,576
426,Lyft,2019-07-10,585
427,Lyft,2019-07-11,671
428,Lyft,2019-07-12,844
429,Lyft,2019-07-13,1519
430,Lyft,2019-07-14,1271
431,Lyft,2019-07-15,698
432,Lyft,2019-07-16,616
433,Lyft,2019-07-17,620
434,Lyft,2019-07-18,830
435,Lyft,2019-07-19,1184
436,Lyft,2019-07-20,1637
437,Lyft,2019-07-21,1265
438,Lyft,2019-07-22,677
439,Lyft,2019-07-23,680
440,Lyft,2019-07-24,666
441,Lyft,2019-07-25,740
442,Lyft,2019-07-26,1052
443,Lyft,2019-07-27,1802
444,Lyft,2019-07-28,1202
445,Lyft,2019-07-29,861
446,Lyft,2019-07-30,720
447,Lyft,2019-07-31,763
448,Lyft,2019-08-01,38
449,SPIN,2019-05-15,83
450,SPIN,2019-05-16,261
451,SPIN,2019-05-17,528
452,SPIN,2019-05-18,886
453,SPIN,2019-05-19,583
454,SPIN,2019-05-20,264
455,SPIN,2019-05-21,190
456,SPIN,2019-05-22,173
457,SPIN,2019-05-23,263
458,SPIN,2019-05-24,660
459,SPIN,2019-05-25,1345
460,SPIN,2019-05-26,1129
461,SPIN,2019-05-27,761
462,SPIN,2019-05-28,357
463,SPIN,2019-05-29,92
464,SPIN,2019-05-30,267
465,SPIN,2019-05-31,610
466,SPIN,2019-06-01,1111
467,SPIN,2019-06-02,933
468,SPIN,2019-06-03,433
469,SPIN,2019-06-04,365
470,SPIN,2019-06-05,290
471,SPIN,2019-06-06,424
472,SPIN,2019-06-07,434
473,SPIN,2019-06-08,1018
474,SPIN,2019-06-09,765
475,SPIN,2019-06-10,465
476,SPIN,2019-06-11,350
477,SPIN,2019-06-12,326
478,SPIN,2019-06-13,424
479,SPIN,2019-06-14,666
480,SPIN,2019-06-15,937
481,SPIN,2019-06-16,720
482,SPIN,2019-06-17,383
483,SPIN,2019-06-18,126
484,SPIN,2019-06-19,197
485,SPIN,2019-06-20,232
486,SPIN,2019-06-21,415
487,SPIN,2019-06-22,584
488,SPIN,2019-06-23,513
489,SPIN,2019-06-24,225
490,SPIN,2019-06-25,181
491,SPIN,2019-06-26,156
492,SPIN,2019-06-27,235
493,SPIN,2019-06-28,370
494,SPIN,2019-06-29,625
495,SPIN,2019-06-30,398
496,SPIN,2019-07-01,190
497,SPIN,2019-07-02,213
498,SPIN,2019-07-03,169
499,SPIN,2019-07-04,519
500,SPIN,2019-07-05,773
501,SPIN,2019-07-06,819
502,SPIN,2019-07-07,408
503,SPIN,2019-07-08,155
504,SPIN,2019-07-09,162
505,SPIN,2019-07-10,177
506,SPIN,2019-07-11,258
507,SPIN,2019-07-12,483
508,SPIN,2019-07-13,982
509,SPIN,2019-07-14,633
510,SPIN,2019-07-15,263
511,SPIN,2019-07-16,190
512,SPIN,2019-07-17,311
513,SPIN,2019-07-18,235
514,SPIN,2019-07-19,415
515,SPIN,2019-07-20,670
516,SPIN,2019-07-21,459
517,SPIN,2019-07-22,238
518,SPIN,2019-07-23,264
519,SPIN,2019-07-24,221
520,SPIN,2019-07-25,295
521,SPIN,2019-07-26,441
522,SPIN,2019-07-27,603
523,SPIN,2019-07-28,435
524,SPIN,2019-07-29,290
525,SPIN,2019-07-30,232
526,SPIN,2019-07-31,190
527,SPIN,2019-08-01,4
